Distrito,TotalWine_Red,TotalWine_Rose,TotalWine_White,TotalWine_General
Aveiro,44550,40519,65022,150092
Açores,1413,209,2042,3663
Beja,154990,7766,72344,235101
Braga,37130,12934,208243,258308
Bragança,121182,43836,27664,192683
Castelo Branco,9499,132,2111,11742
Coimbra,20769,6870,25629,53268
Faro,10750,2806,7603,21156
Guarda,342219,20795,87595,450612
Leiria,62236,6978,27971,97183
Lisboa,854673,84410,215939,1155020
Madeira,28871,513,1070,30455
Portalegre,46787,5431,18827,71046
Porto,23814,27941,433089,484842
Santarém,199643,62900,327417,589959
Setúbal,261923,34745,158634,455301
Viana do Castelo,24151,3594,194323,222068
Vila Real,548184,30194,291264,869641
Viseu,515560,47830,159915,723303
Évora,625330,34625,188732,848688
